15.369	1.773e-10	2.4838e-08	1.7733e-10	4.6256e-09	1.7736e-10	3.6358e-08	1.7781e-10	3.6358e-08
17.639	1.7662e-10	2.4839e-08	1.7666e-10	4.6081e-09	1.767e-10	3.6275e-08	1.7738e-10	3.6275e-08
19.909	1.7601e-10	2.4839e-08	1.7604e-10	4.5919e-09	1.7609e-10	3.617e-08	1.7686e-10	3.617e-08
24.909	1.7481e-10	2.484e-08	1.7484e-10	4.5606e-09	1.7489e-10	3.5928e-08	1.7567e-10	3.5928e-08
29.909	1.7382e-10	2.4841e-08	1.7384e-10	4.5345e-09	1.7389e-10	3.5697e-08	1.7456e-10	3.5697e-08
34.909	1.7299e-10	2.4842e-08	1.7301e-10	4.5128e-09	1.7305e-10	3.5499e-08	1.736e-10	3.5499e-08
39.909	1.723e-10	2.4843e-08	1.7232e-10	4.4947e-09	1.7235e-10	3.5335e-08	1.7281e-10	3.5335e-08
44.909	1.7173e-10	2.4844e-08	1.7174e-10	4.4797e-09	1.7177e-10	3.5199e-08	1.7215e-10	3.5199e-08
49.909	1.7125e-10	2.4844e-08	1.7126e-10	4.4672e-09	1.7129e-10	3.5086e-08	1.716e-10	3.5086e-08
54.909	1.7086e-10	2.4845e-08	1.7087e-10	4.4568e-09	1.7088e-10	3.4992e-08	1.7115e-10	3.4992e-08
59.909	1.7053e-10	2.4845e-08	1.7054e-10	4.4481e-09	1.7055e-10	3.4914e-08	1.7077e-10	3.4914e-08
64.909	1.7025e-10	2.4845e-08	1.7026e-10	4.4409e-09	1.7027e-10	3.4849e-08	1.7046e-10	3.4849e-08
69.909	1.7002e-10	2.4845e-08	1.7003e-10	4.4349e-09	1.7004e-10	3.4794e-08	1.7019e-10	3.4794e-08
74.909	1.6983e-10	2.4846e-08	1.6984e-10	4.4299e-09	1.6985e-10	3.4749e-08	1.6998e-10	3.4749e-08
79.909	1.6968e-10	2.4846e-08	1.6968e-10	4.4258e-09	1.6969e-10	3.4711e-08	1.6979e-10	3.4711e-08
